Balanced Global Dataset,Liquid (Glass) Composition - in Weight Percent,,,,,,,,,,,,,Clinopyroxene Compositions - in Weight Percent,,,,,,,,,,,,,,,,,,
Sample_ID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,P2O5,H2O,,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,,P_GPa,T_K,,,,,,
"Masotta et al., (2013)-TGVT-5",59.3,0.51,20.94,2.63,0.16,0.35,3.73,3.86,8.45,0,0.08,5.33,,44.18,1.54,7.74,12,0.41,8.79,22.47,0.47,0.17,0,,0.2,1173.15,,,,,,
"Masotta et al., (2013)-TGVT-6",58.36,0.46,20.89,2.45,0.1,0.36,3.91,4.43,8.99,0,0.05,3.55,,42.08,1.62,10.43,13.46,0.43,6.96,23.64,0.49,0.14,0,,0.2,1173.15,,,,,,
"Masotta et al., (2013)-TGVT-7",59.14,0.52,20.33,2.46,0.13,0.39,4.17,4.18,8.61,0,0.07,4.05,,44.31,1.56,8.97,11.19,0.4,7.68,21.91,0.57,0.47,0,,0.2,1173.15,,,,,,
"Masotta et al., (2013)-VGPL-10",60.05,0.57,16.8,4.98,0.11,2.17,4.5,4.12,6.38,0,0.32,3.4,,51.52,0.43,2.76,7.56,0.26,14.61,22.34,0.45,0.1,0,,0.2,1273.15,,,,,,
"Masotta et al., (2013)-VGPL-3",62.4,0.5,17.76,3.28,0.08,1.12,3.13,4.76,6.76,0,0.22,6.84,,49.83,0.39,2.86,8.39,0.32,13.77,21.81,0.42,0.12,0,,0.2,1223.15,,,,,,
"Masotta et al., (2013)-VGPL-4",62.41,0.48,18.43,2.49,0.07,0.78,2.46,5.2,7.35,0,0.32,4.51,,49.05,0.66,4.52,11.11,0.31,11.76,20.62,0.45,0.14,0,,0.2,1223.15,,,,,,
"Masotta et al., (2013)-VGPL-5",63.52,0.47,18.19,2.6,0.07,0.85,2.65,4.76,6.59,0,0.31,2.4,,49.4,0.65,4.89,11.54,0.32,11.42,21.26,0.42,0.15,0,,0.2,1223.15,,,,,,
"Masotta et al., (2013)-VGPL-6",64.59,0.35,18.2,2.99,0.09,0.71,2.11,4.04,6.72,0,0.2,2.97,,48.69,0.55,4.47,11.51,0.34,11.44,20.38,0.47,0.18,0,,0.2,1223.15,,,,,,
"Masotta et al., (2013)-VGPL-8",61.46,0.48,17.44,3.65,0.12,1.38,3.76,4.81,6.52,0,0.38,4.57,,51.15,0.42,2.59,7.53,0.21,14.35,21.57,0.43,0.13,0,,0.2,1273.15,,,,,,
"McCoy, T.J., Lofgren,  G.E. (1999)-74",49,1.15,9.2,19.2,0.52,5.28,10.2,2.06,0.2,,,,,52.8,0.23,1.12,14.6,0.58,16.4,14.1,0.13,,,,0.0001,1423.15,,,,,,
"McDade, P., Blundy, J.D., Wood, B.J. (2003)-R64-11",47.6,1,18.25,6.73,,10.82,9.81,3.82,,0.11,,,,49.57,0.34,9.44,3.42,,18.21,16.57,0.85,,0.83,,1.5,1623.15,,,,,,
"McDade, P., Blundy, J.D., Wood, B.J. (2003)-R64-12",47.95,0.96,18.3,4.66,,12.4,9.92,3.21,,0.12,,,,50.47,0.39,8.27,3.13,,20.02,15.33,0.89,,0.57,,1.5,1623.15,,,,,,
"McDade, P., Blundy, J.D., Wood, B.J. (2003)-R64-3",49.19,0.85,17.19,5.19,,12.72,10.9,2.71,,0.2,,,,51.44,0.37,7.85,3.23,,19.23,16.29,0.82,,0.67,,1.5,1623.15,,,,,,
Medard and Grove (2007)-'20026',50.5,0.56,14.89,3.84,0.05,3.55,5.53,2.64,0.62,0,0.23,9.81,,54.04,0.29,1.85,5.46,0.13,17.84,20.09,0.3,,0,,0.49,1248.15,,,,,,
Medard and Grove (2007)-'20027',49.69,0.57,14.19,3.94,0.05,4.12,5.83,2.52,0.61,0,0.21,9.81,,53.74,0.24,1.82,4.59,0.11,17.69,21.4,0.27,,0,,0.48,1273.15,,,,,,
Medard and Grove (2007)-'20028',54.23,0.6,14.82,4.54,0.11,5.25,7.06,2.51,0.56,0,0.13,9.81,,54.09,0.2,1.58,4.45,0.12,18.3,21.07,0.26,,0,,0.49,1298.15,,,,,,
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)-ak02",48.64,0.51,13.85,8.72,,11.91,14.63,1.39,0.35,,,,,53.13,0.14,3.61,3.46,,18.68,20.78,0.19,,,,1,1656.15,,,,,,
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)-ak08",47.86,0.03,14.26,10.03,,12.52,12.76,0.53,2.76,,,,,51.75,0.21,6.52,4.14,,18.13,18.88,0.36,,,,1.5,1671.15,,,,,,
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)-ak14",49.01,0.43,12.49,8.38,,13.68,14.38,1.33,0.29,,,,,53.37,0.14,3.81,3.3,,19.2,19.95,0.22,,,,1.21,1659.15,,,,,,
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)-ak28",49.46,0.41,12.12,7.76,,12.98,15.72,1.26,0.29,,,,,54.72,0.09,1.92,2.9,,20.28,20.28,0.15,,,,0.7,1638.15,,,,,,
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)-ak29",49.33,0.4,11.97,7.83,,13.83,15.11,1.2,1.2,,,,,54.08,0.13,3.27,2.9,,19.9,19.54,0.19,,,,1.01,1663.15,,,,,,
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)-ak34",49.56,0.48,12.81,7.95,,13.17,14.46,1.24,0.32,,,,,53.43,0.14,4.05,3.52,,19.04,19.54,0.27,,,,1.5,1693.15,,,,,,
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)-bt01",45.3,0.65,18.63,8.02,,7.19,15.03,3.79,1.36,,,,,49.72,0.49,8.87,2.86,,14.27,22.59,0.65,,0.65,,0.7,1523.15,,,,,,
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)-bt03",45.64,0.69,17.4,7.2,,7.96,16.98,3.01,1.04,,,,,51.55,0.44,6.09,2.51,,15.27,23.46,0.3,,0.35,,0.7,1548.15,,,,,,
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)-bt18",45.55,0.68,16.52,7.57,,8.46,17.47,2.72,0.98,,,,,50.96,0.42,6.05,2.97,,15.69,23.09,0.28,,0.5,,0.5,1530.15,,,,,,
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)-bt36",44.29,0.69,17.43,9.04,,8.82,15.31,3.29,1.11,,,,,50.88,0.32,5.41,2.86,,16.7,23.06,0.27,,0.48,,0.7,1558.15,,,,,,
"Medard, E., Schmidt, M.W., and Schiano, P. (2004)-bt42",45.41,0.66,16.51,7.48,,8.93,17.48,2.64,0.9,,,,,51.56,0.41,4.96,2.68,,16.21,23.26,0.16,,0.75,,0.25,1493.15,,,,,,
"Meen, J.K. (1987)-2080-15",53.9,1.84,19.7,7.74,,3.99,6.7,4.75,1.42,,,,,50.9,0.44,2.12,13.8,0.31,12.1,19.9,0.49,,,,1,1423.15,,,,,,
"Meen, J.K. (1987)-2080-16",55.4,1.61,18.4,7.37,,3.97,7,4.48,1.8,,,,,51.1,0.42,2.09,12.4,0.29,13.4,19.9,0.56,,,,1,1398.15,,,,,,
"Meen, J.K. (1987)-2085-16",57.1,0.99,17.7,7.49,,3.09,6.54,3.57,3.48,,,,,52.2,0.51,2.43,11.8,0.24,12.9,19.7,0.36,,,,1,1398.15,,,,,,
"Meen, J.K. (1987)-2982h-14",55.1,1,17.7,8.12,,4.91,7.37,3.92,1.89,,,,,51.9,0.46,1.89,10.8,0.41,14.6,19.4,0.48,,,,1,1448.15,,,,,,
"Meen, J.K. (1987)-2982h-16",55.7,0.98,18.2,8.71,,3.86,5.36,3.42,3.73,,,,,51.6,0.66,2.57,11.3,0.29,14.4,19.1,0.4,,,,1,1398.15,,,,,,
"Meen, J.K. (1990)-A1125",60.1,1,13.1,7.57,,4.14,6.09,5.01,2.87,,0.54,,,52.3,0.57,2.03,10.4,,14,20.6,0.4,,,,0.0001,1398.15,,,,,,
"Meen, J.K. (1990)-A1137",57.6,1.68,13,10.8,,3.9,5.93,4.21,2.24,,1.05,,,51.6,0.39,2.11,10.1,,14.3,20.4,0.48,,,,0.0001,1410.15,,,,,,
"Meen, J.K. (1990)-A1150",52.3,1.46,13.3,12.5,,6.73,5.06,5.79,1.37,,1.49,,,51.1,0.29,7.44,6.38,,13.4,20.1,1.24,,,,1.5,1423.15,,,,,,
"Meen, J.K. (1990)-A1175",50.7,1.66,11.9,12.7,,11.1,5.42,4.68,0.93,,0.9,,,51.4,0.36,7.2,4.42,,15,20.2,1.41,,,,1.5,1448.15,,,,,,
"Meen, J.K. (1990)-A1200",50.8,1.5,13.5,11.2,,10.4,6.51,4.42,0.76,,0.75,,,52.1,0.26,7.16,4.12,,15.6,20.5,0.98,,,,1.5,1473.15,,,,,,
"Meen, J.K. (1990)-A1225",51.3,1.22,15.8,9.18,,9.11,8.06,4.21,0.62,,0.6,,,52,0.25,7.05,4.48,,15.3,21,0.9,,,,1.5,1498.15,,,,,,
"Meen, J.K. (1990)-B1125",53.2,1.08,15,9.37,,4.91,7.22,3.25,4.77,,1.13,,,50.9,0.33,7.41,6.58,,13.5,20.3,1.24,,,,1.5,1398.15,,,,,,
"Meen, J.K. (1990)-B1137",56.8,1.32,13.6,9.35,,3.21,6.82,3.25,4.42,,0.76,,,52,0.72,2.57,9.69,,14.9,20.8,0.33,,,,0.0001,1410.15,,,,,,
"Meen, J.K. (1990)-B1150",56.3,1.35,15.8,8.57,,2.92,6.9,3.99,3.52,,0.5,,,52.4,0.36,2.31,9.77,,14.7,20.4,0.41,,,,0.0001,1423.15,,,,,,
"Meen, J.K. (1990)-B1150",52.7,1.22,14.5,10.5,,5.7,6.9,4.07,3.18,,1.21,,,51.4,0.38,6.7,6.05,,15.2,20.8,0.58,,,,1,1423.15,,,,,,
"Meen, J.K. (1990)-B1150",51.9,1.49,13,13,,5.41,5.54,4.18,3.99,,1.56,,,51,0.54,6.69,7.28,,13.2,20.7,1.05,,,,1.5,1423.15,,,,,,
"Meen, J.K. (1990)-B1175",52.5,1.26,15,9.69,,6.76,6.82,4.37,2.46,,0.9,,,51.2,0.38,6.25,6.01,,15.2,20.9,0.61,,,,1,1448.15,,,,,,
"Meen, J.K. (1990)-B1175",52.1,1.23,14.4,11,,6.98,6.4,4.28,2.62,,0.98,,,51.2,0.67,7.18,5.09,,14.2,20.5,1.16,,,,1.5,1448.15,,,,,,
"Meen, J.K. (1990)-B1200",51.7,1.42,14.3,11.1,,7.76,6.01,4.29,2.35,,0.96,,,51.5,0.4,7.21,5.55,,14.8,20.4,1.01,,,,1.5,1473.15,,,,,,
"Meen, J.K. (1990)-B1225",51.6,1.09,15.3,9,,8.84,7.67,3.76,1.82,,0.63,,,51.6,0.35,7.2,4.2,,15.9,20.3,0.87,,,,1.5,1498.15,,,,,,
"Meen, J.K. (1990)-C1125",59.5,0.72,13.4,7.61,,2.67,5.3,2.42,7.88,,1.02,,,51.7,0.61,2.87,10.4,,13.4,20.3,0.72,,,,0.0001,1398.15,,,,,,
"Meen, J.K. (1990)-C1125",54.1,1.38,14.7,9.41,,3.76,5.9,2.93,6.72,,1.53,,,50.8,0.5,6.21,7.67,,14,20.6,0.6,,,,1,1398.15,,,,,,
"Meen, J.K. (1990)-C1150",53.3,1.11,15.2,10.4,,2.98,6.38,3.08,6.17,,1.41,,,50.1,0.72,7.22,8.61,,11.9,20.2,1.24,,,,1.5,1423.15,,,,,,
"Meen, J.K. (1990)-C1175",52.4,1.19,16.1,10.8,,3.95,7.2,3.49,4.21,,0.91,,,50.5,0.68,7.01,7.86,,12.1,20.7,1.4,,,,1.5,1448.15,,,,,,
"Meen, J.K. (1990)-C1200",52.9,1.06,16.4,9.06,,5.23,7.32,3.77,3.44,,0.75,,,51.1,0.51,7.01,5.93,,14.6,20.3,1.21,,,,1.5,1473.15,,,,,,
"Minitti, M.E., Rutherford, M.J. (2000)-MS-18",52.9,1.57,8.18,18.21,0.49,5.12,8.89,2,0.59,,0.48,1.56,,52.92,0.22,0.33,18.73,0.76,21.19,4.88,0.03,,,,0.02,1362.15,,,,,,
"Minitti, M.E., Rutherford, M.J. (2000)-MS-52",56.86,0.66,11.11,15.62,0.17,1,7.4,2.85,1.64,,1.46,,,49.37,0.87,1.04,21.99,0.52,9.9,14.95,0.14,,,,0.0001,1253.15,,,,,,
Mollo et al. (2010),51.02,0.7,19,7.4,0,3.98,7.1,3,7.8,0,0,,,48.4,0.79,6.09,6.8,0,14.1,23.15,0.17,0.06,0,,0.5,1423.15,,,,,,
Mollo et al. (2010),47.27,0.76,14.71,7.1,0,7.2,14,2.57,6.38,0,0,,,48.58,0.71,8.2,4.18,0,14.57,23.2,0.21,0.07,0,,0.5,1473.15,,,,,,
Mollo et al. (2010),46.95,0.67,19.98,7.2,0,5.3,7.2,3.06,9.64,0,0,,,48.14,0.73,8.78,4.8,0,13.45,23.49,0.24,0.08,0,,0.5,1423.15,,,,,,
Mollo et al. (2010),44.28,0.69,14,7,0,6.4,18.71,2.32,6.6,0,0,,,48.21,0.68,8.65,4.5,0,13.68,23.69,0.24,0.1,0,,0.5,1473.15,,,,,,
Mollo et al. (2010),43,0.76,16.04,7.1,0,4.9,15.11,3.46,9.64,0,0,,,47.91,0.68,9.17,4.88,0,13.01,23.79,0.22,0.1,0,,0.5,1423.15,,,,,,
Mollo et al. (2010),45.42,0.54,14.57,6.15,0,6.5,23.35,1.75,1.71,0,0,,,45.6,0.8,9.35,6.78,0,12.85,23.6,0.25,0.08,0,,0.5,1423.15,,,,,,
Mollo et al. (2010),44.69,0.71,18.05,8,0,6.1,10,3.3,9.15,0,0,,,48.5,0.5,8.02,5.1,0,13.75,23.55,0.19,0.09,0,,0.5,1423.15,,,,,,
"Moore, G., and Carmichael, I.S.E. (1998)-PEM12-10",63.1,0.63,15.5,2.65,,1.1,3.35,3.9,2.27,,,4.5,,51.7,1.08,2.7,6.18,,16.6,19.9,0.8,,,,0.1455,1223.15,,,,,,
"Moore, G., and Carmichael, I.S.E. (1998)-PEM12-22",64,0.74,15,3.49,,1.6,3.87,4,2.07,,,3,,48.9,1.05,3.9,12,,15.1,17.7,0.4,0.13,,,0.071,1233.15,,,,,,
"Moore, G., and Carmichael, I.S.E. (1998)-PEM22-1",56.1,0.88,17,5.04,,3.1,5.4,5.1,1.81,,,3.5,,50.6,0.89,5.11,7.52,,15.1,21.42,0.3,0.02,,,0.0989,1323.15,,,,,,
"Moore, G., and Carmichael, I.S.E. (1998)-PEM22-18",53.2,1,17.6,4.87,,3.3,6.52,3.9,1.24,,,5.1,,50.5,0.71,4.2,6.08,,15.4,22,0.3,,,,0.204,1298.15,,,,,,
Nandedkar et al 2014 - Contrib Mineral Petrol - RN5,47.32,0.71,15.19,8.27,0.19,8.08,11.16,1.95,0.67,0,0.12,3.2,,51.45,0.32,4.2,5.53,0.16,16.37,21.51,0.27,0.02,0,,0.7,1372.15,,,,,,
Nandedkar et al 2014 - Contrib Mineral Petrol - RN6,47.28,0.81,17.35,7.78,0.18,6.73,10.07,2.04,0.72,0,0.14,4.2,,51.88,0.38,3.98,5.14,0.15,16.36,21.8,0.24,0.01,0,,0.7,1342.15,,,,,,
Nandedkar et al 2014 - Contrib Mineral Petrol - RN7 - hogh Al,49.99,0.95,18.74,7.53,0.17,4.68,8.15,1.59,0.89,0,0.19,5.3,,46.77,0.91,10.03,8.1,0.2,13.65,20.08,0.34,0,0,,0.7,1312.15,,,,,,
Nandedkar et al 2014 - Contrib Mineral Petrol - RN7 - low Al,49.99,0.95,18.74,7.53,0.17,4.68,8.15,1.59,0.89,0,0.19,5.3,,50.68,0.46,5.33,7.96,0.25,16.05,19.15,0.28,0,0,,0.7,1312.15,,,,,,
Nandedkar et al 2014 - Contrib Mineral Petrol - RN7 w2,47.38,0.82,18.1,7.85,0.18,6.28,9.6,2.26,0.73,0,0.11,5.3,,49.04,0.63,7.19,7.05,0.18,14.95,20.61,0.33,0.03,0,,0.7,1327.15,,,,,,
"Parman, S.W., Dann, J.C., Grove, T.L., and deWit, M.J. (1997)-BK13",52,0.8,9.2,11.4,0.18,11.7,14.2,0.16,,0.22,,,,54.6,0.08,0.93,6,0.13,21.1,16.9,0.07,,0.75,,0.0001,1523.15,,,,,,
"Parman, S.W., Dann, J.C., Grove, T.L., and deWit, M.J. (1997)-BK7",52.33,0.69,7.7,11.7,0.21,13,14.2,0.29,,0.19,,,,54.2,0.13,1.3,6.2,0.15,21.1,16.7,0.02,,0.72,,0.0001,1523.15,,,,,,
"Parman, S.W., Dann, J.C., Grove, T.L., and deWit, M.J. (1997)-CSPVBK10",53.06,0.96,15.2,8.16,0.1,4.31,10.2,0.35,,0.08,,,,52.2,0.34,3.1,6.3,0.15,16.1,21.1,0.07,,0.42,,0.2,1299.15,,,,,,
"Parman, S.W., Grove, T.L. (2004)-BK2.27",48.66,0.74,7.77,12.65,0.21,16.03,12.8,0.68,0.05,0.32,0.09,,,55.58,0.07,1.35,6.84,0.18,25.49,9.89,0.17,,0.59,,1.5,1723.15,,,,,,
"Parman, S.W., Grove, T.L. (2004)-BK2.30",50.76,0.56,6.47,12.59,0.22,15.73,12.32,0.87,0.06,0.35,0.06,7.11,,54.81,0.04,0.74,4.51,0.12,20.5,18.3,0.18,,0.91,,1.5,1548.15,,,,,,
"Parman, S.W., Grove, T.L. (2004)-W.12",47.63,0.71,18.85,8.4,0.12,10.48,11.63,1.72,0.05,0.04,0.34,8.69,,51.52,0.18,5.68,4.36,0.07,17.36,19.62,0.35,,0.37,,1.5,1448.15,,,,,,
"Parman, S.W., Grove, T.L. (2004)-W.21",45.99,0.77,16.76,9.78,0.12,13.09,11.29,1.28,0.06,0.09,0.4,,,50.78,0.13,9.83,5.88,0.11,20.9,11.68,0.52,,0.5,,2,1723.15,,,,,,
"Parman, S.W., Grove, T.L. (2004)-W3.34",43.88,1.04,15.36,10.97,0.06,13.45,11.09,2.19,0.08,0.06,0.71,,,50.99,0.21,8.9,5.89,0.11,20.51,12.46,0.6,,0.24,,2,1698.15,,,,,,
"Pati_o-Douce, A.E. (1995)-APD553/PB",72.51,0.59,13.76,2.07,0.13,1,2.24,2.73,4.97,,,,,51.38,0.59,4.41,8.72,0.41,14.92,18.89,0.38,,,,0.7,1273.15,,,,,,
"Pati_o-Douce, A.E. (1995)-APD555/PB",72.2,0.39,15.5,1.18,0.04,0.57,1.62,3.34,5.17,,,,,48.8,1.01,9.63,9.5,0.25,12.38,17.56,0.89,,,,1.5,1273.15,,,,,,
"Pati_o-Douce, A.E. (1995)-APD556/PB",74.09,0.63,12.81,1.98,0.03,1.05,1.95,2.59,4.86,,,,,52.38,0.71,2.45,10.82,0.38,15.76,17.07,0.24,,,,0.5,1273.15,,,,,,
"Patino-Douce, A.E. (2005)-APD 651",73.17,0.3,15.02,0.89,0.02,0.33,1.11,4.67,4.5,,,5.1,,53.21,0.48,4.74,11.72,0.23,12.84,15.4,1.11,0.1,,,1.5,1223.15,,,,,,
"Patino-Douce, A.E. (2005)-APD-663",70.79,0.09,16.37,0.54,0.05,0.11,1.56,4.18,6.31,,,5.8,,55.88,0.23,21.01,3.58,,2.88,7.94,8.45,0.19,,,3.2,1273.15,,,,,,
"Patino-Douce, A.E. (2005)-APD-680",70.1,0.51,16.43,1.28,0.04,0.29,2.01,4.2,5.14,,,2,,53.63,0.61,19.6,4.93,0.22,3.05,10.5,7.65,0.09,,,3.2,1373.15,,,,,,
"Patino-Douce, A.E. (2005)-APD-682",74.86,0.1,16.44,0.42,0.02,0.03,0.97,3.02,4.14,,,3.8,,53.64,0.76,18.65,3.12,0.11,4.49,10.96,7.21,0.06,,,2.7,1348.15,,,,,,
"Patino-Douce, A.E. (2005)-APD-683",73.41,0.11,15.55,0.42,0.03,0.04,0.79,2.77,6.88,,,8.5,,57.07,0.09,25.13,1.32,0.09,0.3,6.07,9.53,0.06,,,2.7,1298.15,,,,,,
"Patino-Douce, A.E. (2005)-APD-684",70.64,0.59,16.54,0.97,0.01,0.26,1.76,3.91,5.32,,,2.2,,51.61,1.11,17.06,4.71,0.15,6.43,13.51,5.22,0.05,,,2.7,1423.15,,,,,,
"Patino-Douce, A.E. (2005)-APD-685",71.48,0.52,16.32,0.78,0.03,0.24,1.55,3.85,5.23,,,2.5,,52.15,1.16,18.42,3.96,0.13,4.91,12.97,5.91,0.12,,,2.7,1398.15,,,,,,
"Patino-Douce, A.E. (2005)-APD-686",73.3,0.21,16.08,0.59,0.07,0.08,0.93,3.92,4.83,,,2.5,,54.49,0.48,19.92,4.19,,4.13,8.84,8.16,0.05,,,3.2,1323.15,,,,,,
"Patino-Douce, A.E. (2005)-FCH-9",73.8,0.29,16.57,0.78,0.03,0.11,1.09,3.04,4.3,,,3.5,,52.51,1.31,19.1,3.62,0.15,4.15,12.1,6.98,0.03,,,2.7,1373.15,,,,,,
"Patino-Douce, A.E. (2005)-TED 44",72.89,0.38,15.32,1.15,0.01,0.22,0.89,4.99,4.14,,,3.1,,53.06,0.66,8.67,7.22,0.2,10.94,15.87,3.39,0.05,,,2.1,1298.15,,,,,,
"Patino-Douce, A.E. (2005)-TED 45",72.16,0.37,16.05,0.65,0.03,0.12,0.88,3.6,6.13,,,2.1,,54.72,0.71,14.56,5.98,0.12,6.21,10.46,6.44,0.09,,,3,1348.15,,,,,,
"Patino-Douce, A.E. (2005)-TED 45",72.16,0.37,16.05,0.65,0.03,0.12,0.88,3.6,6.13,,,2.1,,54.72,0.71,14.56,5.98,0.12,6.21,10.46,6.44,0.09,,,3,1348.15,,,,,,
"Patino-Douce, A.E. (2005)-TED 47",72.63,0.21,15.85,0.7,0.1,0.23,1.12,5.2,3.95,,,6.3,,53.98,0.71,9.99,5.92,0.11,11.21,15.01,3.68,0.1,,,2.1,1248.15,,,,,,
"Patino-Douce, A.E. (2005)-TED 48",75.48,0.17,16.62,0.52,0.02,0.1,0.98,2.1,4,,,7.3,,55.7,0.37,17.68,4.89,0.13,4.07,8.85,7.76,0.11,,,3,1248.15,,,,,,
"Patino-Douce, A.E. (2005)-TED 48",75.48,0.17,16.62,0.52,0.02,0.1,0.98,2.1,4,,,7.3,,55.7,0.37,17.68,4.89,0.13,4.07,8.85,7.76,0.11,,,3,1248.15,,,,,,
"Patino-Douce, A.E. (2005)-TED 49",73.51,0.18,15.44,0.69,,0.07,0.78,3.11,6.22,,,2.9,,55.65,0.4,19.21,4.13,0.05,3.62,9.03,7.64,0.16,,,3,1283.15,,,,,,
"Patino-Douce, A.E. (2005)-TED 49",73.51,0.18,15.44,0.69,,0.07,0.78,3.11,6.22,,,2.9,,55.65,0.4,19.21,4.13,0.05,3.62,9.03,7.64,0.16,,,3,1283.15,,,,,,
"Patino-Douce, A.E. (2005)-TED 50",72.67,0.3,15.6,0.83,,0.27,1.17,5.25,3.91,,,8.1,,52.87,0.7,9.45,6.06,0.18,11.53,15.65,3.43,0.11,,,2.1,1233.15,,,,,,
"Patino-Douce, A.E. (2005)-TED 51",73,0.21,15.74,0.5,0.03,0.27,0.94,5.51,3.81,,,9.8,,52.81,0.75,11.06,6,0.15,9.56,14.38,4.06,0.42,,,2.1,1213.15,,,,,,
"Patino-Douce, A.E. (2005)-TED 52",71.25,0.49,16.14,0.69,0.06,0.39,1.52,4.05,5.41,,,1.8,,52.22,0.9,10.72,3.89,0.19,11.38,18.04,3,0.08,,,2.1,1333.15,,,,,,
"Patino-Douce, A.E., Beard, J.S> (1995)-1093-12/IH",74.7,0.31,14.9,1.86,0.05,0.41,2.97,2.37,2.3,,,2.4,,52.3,0.43,3.15,9.1,0.65,14.5,19,0.42,,,,0.3,1148.15,,,,,,
"Patino-Douce, A.E., Beard, J.S> (1995)-1093-17/IH",75.7,0.36,12.6,2.02,0.18,0.48,2.98,2.6,2.76,,,5.5,,51.5,0.41,2.7,7.9,0.82,15.2,20.1,0.42,,,,0.3,1173.15,,,,,,
"Patino-Douce, A.E., Beard, J.S> (1995)-1093-26/IH",76,0.48,13.2,2.46,0.07,0.64,2.82,1.63,2.34,,,1.7,,50.1,0.53,3.85,10.2,0.58,14,19.4,0.39,,,,0.5,1198.15,,,,,,
"Patino-Douce, A.E., Beard, J.S> (1995)-1093-7/1H",74.9,0.38,13.6,1.27,0.16,0.54,3.01,3.1,2.63,,,1.6,,52.1,0.35,2.33,6.6,0.51,15.9,20.8,0.51,,,,0.3,1198.15,,,,,,
"Patino-Douce, A.E., Beard, J.S> (1995)-292-34/IH",75,0.41,13.2,2.42,0.11,0.64,2.03,1.88,3.88,,,3.9,,48.9,0.63,3.3,11.2,0.46,14.4,17.5,0.54,,,,0.5,1173.15,,,,,,
"Patino-Douce, A.E., Beard, J.S> (1995)-APD 511/PC",72.5,0.41,15.3,2.65,0.08,0.64,3.29,2.17,2.65,,,5.5,,50.1,0.61,4.28,13.2,0.5,12.4,17.3,0.53,,,,1,1198.15,,,,,,
"Patino-Douce, A.E., Beard, J.S> (1995)-APD 520/PC",72,0.55,15,3,0.2,0.79,3.42,2.38,2.41,,,5.1,,49.6,0.8,4.5,12.3,0.46,13.3,17.4,0.53,,,,1,1223.15,,,,,,
"Patino-Douce, A.E., Beard, J.S> (1995)-APD 523/PC",73,0.52,14.3,2.48,0.19,0.64,3.02,2.79,2.74,,,3.5,,51.8,0.5,2.4,12.5,0.57,14.2,17.3,0.27,,,,0.7,1198.15,,,,,,
"Patino-Douce, A.E., Beard, J.S> (1995)-APD 534/PC",74,0.43,15.3,1.51,0.04,0.54,1.69,3.33,2.92,,,3.9,,50.3,0.86,6.75,10.1,0.29,12.4,17,1.44,,,,1.5,1248.15,,,,,,
"Patino-Douce, A.E., Beard, J.S> (1995)-APD 534/PC",73.4,0.34,15.2,0.97,0.05,0.36,1.09,2.93,5.46,,,4,,51.7,0.67,6.72,8.1,0.09,13.1,17.8,1.52,,,,1.5,1248.15,,,,,,
"Patino-Douce, A.E., Beard, J.S> (1995)-APD 540/PC",71.3,0.68,14.4,2.95,0.1,1.05,3.63,2.08,3.53,,,2.3,,51.5,0.54,2.88,13,0.55,14,16.9,0.4,,,,0.7,1223.15,,,,,,
"Patino-Douce, A.E., Beard, J.S> (1995)-APD 546/PC",70.1,1.26,13.8,3.75,0.15,1.11,3.65,2.56,3.26,,,4.4,,50.9,0.82,4.29,11.9,0.4,13.4,16.9,0.43,,,,1,1273.15,,,,,,
"Patino-Douce, A.E., Beard, J.S> (1995)-APD 547/PC",73.7,0.33,15.5,1.36,0.04,0.44,1.65,3.92,2.91,,,5.5,,51.3,0.65,6.55,9.7,0.28,12,18.6,1.37,,,,1.5,1223.15,,,,,,
"Patino-Douce, A.E., Beard, J.S> (1995)-APD 552/PCc",72.7,0.42,15.1,2.12,0.16,0.7,3.04,1.91,3.69,,,3.8,,51.3,0.83,5.74,11.2,0.6,12.8,17.5,0.64,,,,1,1183.15,,,,,,
"Patino-Douce, A.E., Beard, J.S> (1995)-APD 557/PC",73.5,0.31,15.4,0.97,0.03,0.31,1.04,2.81,5.45,,,,,51.7,0.5,4.76,9.9,0.27,13.5,17.8,1.26,,,,1.5,1273.15,,,,,,
"Patino-Douce, A.E., Beard, J.S> (1995)-APD 557/PC",73.4,0.37,15.9,1.65,0.07,0.53,1.78,2.74,3.55,,,,,50.9,0.73,7.78,12,0.44,12.2,15.5,1.33,,,,1.5,1273.15,,,,,,
"Patino-Douce, A.E., Beard, J.S> (1995)-APD 570/PCc",71.5,0.64,15.2,2.3,0.04,1.24,3.38,2.12,3.33,,,,,49.9,0.85,8.97,9.3,0.44,11.1,17.5,1.2,,,,1.5,1223.15,,,,,,
