Balanced Global Dataset,Liquid (Glass) Composition - in Weight Percent,,,,,,,,,,,,,Clinopyroxene Compositions - in Weight Percent,,,,,,,,,,,,,,,,,,
Sample_ID,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,P2O5,H2O,,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,,P_GPa,T_K,,,,,,
"Bender, J.F., Hodges, F.N., Bence, A.E. (1978)-27",47.5,0.55,16.9,8.92,0.12,10.2,11.8,2.01,0.07,,,,,50,0.26,9.86,5.53,0.09,17.8,15.6,0.59,,0.39,,1.5,1613.15,,,,,,
"Bender, J.F., Hodges, F.N., Bence, A.E. (1978)-46",49.4,0.7,17.3,9.22,0.14,8.98,12.43,1.93,0.08,,,,,49.6,0.54,8.35,7.64,0.15,17.9,15.9,0.34,,0.3,,0.8,1523.15,,,,,,
"Bender, J.F., Hodges, F.N., Bence, A.E. (1978)-71",48.8,0.62,18.8,9.97,0.1,8.51,10.9,2.39,0.08,,,,,50.1,0.28,8.87,6.17,0.09,17.9,15.8,0.51,,0.19,,1.5,1603.15,,,,,,
"Berndt, J., Holtz, F., and Koepke, J.  (2001)-10166",56.4448,0.341251,19.1931,1.8446,0.073784,0.101453,2.4072,4.94353,6.87114,,,7.77,,44.7,2.24,7.38,14.27,0.57,6.94,22.66,0.63,0.48,,,0.2,1153.15,,,,,,
"Berndt, J., Holtz, F., and Koepke, J.  (2001)-10532",61.14,0.45,20.65,1.94,0.08,0.14,2.22,5.99,7.38,,,,,44.02,2.35,8.11,15.01,0.62,6.3,21.76,0.79,0.49,,,0.2,1153.15,,,,,,
"Berndt, J., Holtz, F., and Koepke, J.  (2001)-11504",56.9684,0.390768,19.0825,1.6282,0.13956,0.204688,2.36322,5.02416,7.25712,,,6.96,,44.22,1.89,8.18,11.9,0.47,8.77,22.53,0.73,0.32,,,0.2,1153.15,,,,,,
"Berndt, J., Holtz, F., and Koepke, J.  (2001)-11870",60.95,0.52,20.31,2.11,0.07,0.26,0.21,5.37,8.2,,,,,44.03,2.96,7.67,12.62,0.61,7.9,22.68,0.83,0.34,,,0.2,1153.15,,,,,,
"Berndt, J., Holtz, F., and Koepke, J.  (2001)-12266",56.3522,0.338809,18.8268,1.41934,0.064099,0.201454,2.12442,4.88068,7.37139,,,8.43,,42.56,2.16,8.67,12.24,0.43,8.73,22.78,0.8,0.26,,,0.2,1113.15,,,,,,
"Berndt, J., Holtz, F., and Koepke, J.  (2001)-12631",61.69,0.49,20.36,1.49,0.11,0.21,1.99,5.58,8.09,,,,,42.4,2.29,9.11,12.92,0.55,8.14,22.25,0.99,0.3,,,0.2,1113.15,,,,,,
"Berndt, J., Holtz, F., and Koepke, J.  (2001)-15-49",57.1863,0.384846,19.1049,1.28282,0.082467,0.128282,1.88758,4.9022,6.68899,,,8.37,,45.68,1.58,6.75,13.04,0.6,8.27,22.92,0.76,0.27,,,0.3,1113.15,,,,,,
"Berndt, J., Holtz, F., and Koepke, J.  (2001)-16-51",56.5973,0.425822,19.199,1.53666,0.148112,0.259196,2.57345,5.11912,6.72058,,,7.43,,44,1.64,7.66,11.08,0.47,9.69,22.91,0.74,0.17,,,0.3,1113.15,,,,,,
"Berndt, J., Holtz, F., and Koepke, J.  (2001)-16-52",61.68,0.46,20.09,1.49,0.15,0.26,2.16,5.87,7.84,,,,,43.68,2.05,9.02,12.09,0.59,8.31,21.97,1.07,0.45,,,0.3,1113.15,,,,,,
"Berndt, J., Holtz, F., and Koepke, J.  (2001)-17-53",56.5851,0.191289,19.138,1.22061,0.118417,0.118417,2.04953,4.94619,6.72244,,,8.91,,43.45,1.52,8.7,12.48,0.53,8.67,22.27,1.08,0.36,,,0.3,1113.15,,,,,,
"Berndt, J., Holtz, F., and Koepke, J.  (2001)-17-54",61.94,0.24,20.91,1.34,0.11,0.1,1.47,6.29,7.61,,,,,43.24,1.73,7.91,12.91,0.73,8.64,22.14,1.2,0.18,,,0.3,1113.15,,,,,,
"Berndt, J., Holtz, F., and Koepke, J.  (2001)-18-55",55.4719,0.535514,18.8261,2.40058,0.120029,0.240058,3.44391,4.74576,6.53696,,,7.67,,44.21,2.26,7.41,12.34,0.42,8.51,23.57,0.5,0.21,,,0.3,1113.15,,,,,,
"Berndt, J., Holtz, F., and Koepke, J.  (2001)-41047",62.68,0.38,20.34,1.69,0.05,0.23,2.67,4.8,7.12,,,,,42.03,1.29,7.7,12.77,0.48,9.49,23.1,0.74,0.14,,,0.2,1153.15,,,,,,
"Berndt, J., Holtz, F., and Koepke, J.  (2001)-41048",62.34,0.31,20.73,1.33,0.06,0.14,1.67,5.64,7.77,,,,,42.44,1.38,8.51,13.14,0.72,8.01,22.66,1.26,0.18,,,0.2,1153.15,,,,,,
"Berndt, J., Holtz, F., and Koepke, J.  (2001)-41062",62.44,0.28,20.74,1.26,0.03,0.03,1.97,5.46,7.79,,,,,46.4,1.56,7.86,12.98,0.53,7.7,22.68,0.52,0.39,,,0.2,1113.15,,,,,,
"Berndt, J., Holtz, F., and Koepke, J.  (2001)-41195",62.54,0.34,20.4,1.3,0.11,0.14,2.12,5.01,8.04,,,,,40.94,2.24,9.72,14.33,0.58,7.63,22.57,1.08,0.18,,,0.2,1113.15,,,,,,
"Berndt, J., Holtz, F., and Koepke, J.  (2001)-41263",56.2071,0.443376,18.8065,2.24459,0.083133,0.157029,2.76186,5.14501,6.52132,,,7.63,,45.87,1.83,6.14,13.07,0.54,8.49,23.34,0.53,0.22,,,0.2,1113.15,,,,,,
"Berndt, J., Holtz, F., and Koepke, J.  (2001)-41264",61.44,0.58,20.16,1.83,0.16,0.13,2.35,6.05,7.3,,,,,43.93,2.21,7.11,13.9,0.59,7.56,22.78,0.69,0.21,,,0.2,1113.15,,,,,,
Blatter et al 2013 Contrib Mineral Petrol - 2354,50.60,1.34,19.50,8.80,0.12,5.89,8.59,3.85,0.67,0.00,0.24,3.00,,48.60,0.89,9.06,7.61,0.20,14.80,18.30,0.59,0.00,0.11,,0.9,1387.15,,,,,,
Blatter et al 2013 Contrib Mineral Petrol - 2356,51.50,1.41,20.00,8.73,0.15,4.72,7.81,4.16,0.77,0.00,0.29,2.80,,48.10,1.03,9.28,8.23,0.20,14.40,18.10,0.65,0.00,0.12,,0.9,1347.15,,,,,,
Blatter et al 2013 Contrib Mineral Petrol - 2357,53.00,1.57,19.70,8.40,0.14,4.06,7.10,4.34,0.92,0.00,0.35,2.90,,47.10,1.21,9.48,8.90,0.20,13.30,18.70,0.75,0.01,0.09,,0.9,1327.15,,,,,,
Blatter et al 2013 Contrib Mineral Petrol - 2358,58.40,0.86,18.80,6.32,0.13,2.59,6.48,4.06,1.36,0.00,0.59,5.50,,48.20,0.67,6.50,10.50,0.26,13.30,19.00,0.63,0.01,0.11,,0.9,1267.15,,,,,,
Blatter et al 2013 Contrib Mineral Petrol - 2359,54.30,1.16,19.60,7.83,0.16,3.78,7.07,4.17,0.98,0.00,0.52,3.60,,48.20,0.80,7.32,10.20,0.24,13.70,18.80,0.68,0.01,0.08,,0.9,1307.15,,,,,,
Blatter et al 2013 Contrib Mineral Petrol - 2360,57.10,0.95,19.20,6.84,0.16,2.87,6.40,4.25,1.24,0.00,0.56,5.10,,47.70,0.75,7.25,10.20,0.26,13.70,18.90,0.67,0.00,0.07,,0.9,1287.15,,,,,,
Blatter et al 2013 Contrib Mineral Petrol - 2362,50.40,1.23,17.90,9.23,0.13,7.40,9.44,3.09,0.52,0.00,0.21,1.80,,48.90,0.65,8.10,7.33,0.17,16.70,17.00,0.61,0.01,0.35,,0.9,1427.15,,,,,,
Blatter et al 2013 Contrib Mineral Petrol - 2363,50.60,1.34,19.70,9.03,0.16,5.41,8.25,3.99,0.69,0.00,0.37,2.30,,48.00,0.94,9.07,8.18,0.20,14.50,18.10,0.61,0.01,0.19,,0.9,1367.15,,,,,,
Blatter et al 2013 Contrib Mineral Petrol - 2364,60.70,0.71,18.70,5.80,0.12,2.01,5.77,3.64,1.43,0.00,0.73,6.10,,49.00,0.70,6.40,11.10,0.29,13.90,17.80,0.67,0.04,0.07,,0.9,1247.15,,,,,,
Blatter et al 2013 Contrib Mineral Petrol - 2370,65.20,0.73,17.40,3.54,0.11,1.92,4.70,3.63,1.96,0.00,0.55,5.70,,49.70,0.71,5.12,8.91,0.29,15.10,19.40,0.53,0.02,0.04,,0.7,1222.15,,,,,,
Blatter et al 2013 Contrib Mineral Petrol - 2374,52.20,1.53,19.70,8.30,0.14,4.57,7.34,4.47,0.90,0.00,0.40,3.00,,47.80,1.25,7.62,8.83,0.20,14.30,19.20,0.58,0.00,0.10,,0.7,1372.15,,,,,,
Blatter et al 2013 Contrib Mineral Petrol - 2376,61.80,0.74,18.70,4.82,0.13,2.10,5.41,3.91,1.43,0.00,0.67,5.40,,49.90,0.54,4.76,9.63,0.32,14.80,19.10,0.51,0.05,0.01,,0.7,1247.15,,,,,,
Blatter et al 2013 Contrib Mineral Petrol - 2379,50.60,1.37,19.40,9.36,0.17,5.50,8.63,3.66,0.64,0.00,0.30,1.60,,47.70,0.98,8.45,7.56,0.18,14.70,19.40,0.50,0.00,0.00,,0.7,1247.15,,,,,,
Blatter et al 2013 Contrib Mineral Petrol - 2380,54.30,1.48,18.50,8.14,0.18,4.23,7.26,4.27,0.89,0.00,0.41,3.30,,48.20,1.27,6.13,8.62,0.22,14.50,20.10,0.48,0.01,0.11,,0.4,1322.15,,,,,,
