Initial Global Dataset,Liquid (Glass) Composition - in Weight Percent,,,,,,,,,,,,,Clinopyroxene Compositions - in Weight Percent,,,,,,,,,,,,
Author - year - id,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,P2O5,H2O,,SiO2,TiO2,Al2O3,FeOt,MnO,MgO,CaO,Na2O,K2O,Cr2O3,,P_GPa,T_K
"Baker, R.B., and Eggler, D.H. (1987)-808",47.80,1.21,15.90,11.30,0.25,7.17,11.50,2.77,0.55,,0.19,,,50.20,0.63,6.75,6.36,0.20,15.60,19.20,0.26,,,,0.8,1473.15
"Baker, R.B., and Eggler, D.H. (1987)-819",48.40,1.16,15.60,12.70,0.30,7.25,10.80,2.65,0.54,,0.16,,,50.70,0.64,6.10,7.50,0.18,16.50,17.60,0.36,,,,0.8,1473.15
"Baker, R.B., and Eggler, D.H. (1987)-869",49.00,2.13,14.30,14.60,0.11,5.12,8.73,3.11,1.14,,0.33,,,52.10,0.36,2.75,13.80,0.37,18.10,12.10,0.38,,,,0.8,1423.15
"Baker, R.B., and Eggler, D.H. (1987)-874",65.80,1.16,14.90,4.31,0.13,1.72,3.64,3.76,3.99,,0.53,,,51.80,0.55,2.03,10.80,0.58,14.40,19.20,0.26,,,,0.0001,1356.15
"Baker, R.B., and Eggler, D.H. (1987)-886",64.20,1.23,14.90,4.27,0.21,1.40,3.61,3.64,4.48,,0.47,,,51.80,0.52,1.90,10.10,0.49,14.20,20.10,0.40,,,,0.0001,1356.15
"Baker, R.B., and Eggler, D.H. (1987)-891",47.80,2.62,14.00,16.20,0.32,4.67,7.85,3.32,1.50,,0.53,,,51.30,0.53,3.75,17.10,0.53,20.20,5.98,0.13,,,,0.8,1423.15
"Baker, R.B., and Eggler, D.H. (1987)-911",59.40,1.44,12.80,11.60,0.34,1.83,5.44,3.56,2.26,,0.36,,,50.70,0.52,1.95,24.00,0.76,16.30,5.34,0.13,,,,0.8,1398.15
"Baker, R.B., and Eggler, D.H. (1987)-917",61.70,1.45,12.50,10.20,0.30,1.09,4.23,3.72,2.93,,0.64,,,50.90,0.46,1.31,25.10,1.03,16.50,4.45,0.02,,,,0.8,1373.15
"Baker, R.B., and Eggler, D.H. (1987)-934",49.10,1.62,16.20,13.50,0.25,6.13,8.38,3.22,0.96,,0.23,,,51.20,0.64,5.53,14.80,0.46,21.50,5.66,0.18,,,,0.8,1448.15
"Baker, R.B., and Eggler, D.H. (1987)-940",48.30,1.20,14.90,13.90,0.36,7.45,9.23,2.33,1.02,,0.25,,,52.00,0.67,5.18,10.70,0.33,18.90,11.80,0.06,,,,0.8,1448.15
"Baker, R.B., and Eggler, D.H. (1987)-944",60.80,1.20,13.20,10.10,0.28,2.02,4.81,3.50,2.42,,0.53,,,51.30,0.43,1.56,23.30,0.72,17.50,4.53,0.06,,,,0.8,1373.15
"Baker, R.B., and Eggler, D.H. (1987)-953",47.60,2.07,14.90,15.70,0.31,5.70,8.23,3.02,1.16,,0.48,,,51.90,0.50,4.57,16.80,0.46,20.90,5.80,0.18,,,,0.8,1423.15
"Baker, R.B., and Eggler, D.H. (1987)-989",56.40,1.96,13.40,11.80,0.31,2.07,5.76,3.25,3.29,,0.54,,,49.60,0.70,3.63,18.30,0.65,15.30,11.10,0.33,,,,0.8,1398.15
"Barclay, J., Carmichael, I.S.E. (2004)-Jor46.10",52.01,0.94,16.01,3.64,0.13,2.90,4.80,5.51,3.20,,,5.36,,51.40,0.70,2.70,6.00,0.08,15.60,22.34,0.47,,,,0.221,1308.15
"Barclay, J., Carmichael, I.S.E. (2004)-Jor46.19",53.30,1.50,16.81,4.10,0.13,3.34,6.13,5.40,3.40,,,3.00,,51.40,0.86,3.00,6.90,0.10,15.20,22.40,0.51,,,,0.069,1273.15
"Barclay, J., Carmichael, I.S.E. (2004)-Jor46.20",50.08,1.51,15.07,3.87,0.09,4.46,6.78,4.70,3.10,,,5.66,,51.20,0.86,2.50,5.90,0.12,15.50,22.29,0.46,,,,0.232,1333.15
"Barclay, J., Carmichael, I.S.E. (2004)-Jor46.21",56.34,0.79,17.37,2.35,0.10,1.95,3.44,5.71,4.08,,,3.51,,50.50,0.90,2.70,6.50,0.13,15.40,22.20,0.52,,,,0.104,1293.15
"Barclay, J., Carmichael, I.S.E. (2004)-Jor46.23",60.54,0.55,18.22,1.26,0.05,0.92,2.03,6.62,4.50,,,2.53,,50.30,1.10,3.40,6.80,0.17,14.80,21.90,0.56,,,,0.054,1248.15
"Barclay, J., Carmichael, I.S.E. (2004)-Jor46.3",56.69,0.38,16.85,2.07,0.09,1.56,2.25,5.56,4.29,,,3.43,,50.90,1.00,2.60,6.20,0.11,16.00,22.30,0.41,,,,0.094,1273.15
"Barclay, J., Carmichael, I.S.E. (2004)-Jor46.31",57.08,0.42,15.96,1.78,0.05,1.45,2.70,5.65,3.98,,,4.13,,51.70,0.68,2.20,5.40,0.13,16.10,22.10,0.47,,,,0.121,1240.15
